datetime,date,hour,total emojis,average emojis,total score,average scores,average body length
2013-02-24T03,2013-02-24,03,6104,1.4964452071586174,33450,8.200539347879381,156.2544741358176
2013-02-18T03,2013-02-18,03,5820,1.5462274176408077,26988,7.1700318809776835,162.2672688629118
2013-02-21T13,2013-02-21,13,7871,1.4199891755367129,29534,5.32816164531842,149.58686631787842
2013-02-19T11,2013-02-19,11,6903,1.4119451830640213,24075,4.924319901820414,164.1664962159951
2013-02-08T17,2013-02-08,17,4306,1.216727889234247,15534,4.389375529810681,152.58717151737778
2013-02-03T15,2013-02-03,15,5105,1.1655251141552512,29020,6.6255707762557075,154.65867579908675
2013-02-09T08,2013-02-09,08,7814,1.4137868644834448,22342,4.042337615342863,158.5265062420843
2013-02-28T04,2013-02-28,04,8468,1.4950564971751412,28061,4.954272598870056,171.03513418079095
2013-02-21T21,2013-02-21,21,2376,1.4219030520646319,7087,4.241172950329144,168.65050867743867
2013-02-26T20,2013-02-26,20,2968,1.653481894150418,8866,4.9392757660167135,167.158217270195
2013-02-02T19,2013-02-02,19,3792,1.6898395721925135,8512,3.793226381461676,174.21479500891266
2013-02-28T16,2013-02-28,16,7697,1.5939117829778422,19893,4.119486436115138,155.98674673845517
2013-02-09T23,2013-02-09,23,1570,0.9949302915082383,12437,7.8814955640050695,143.94296577946767
2013-02-16T08,2013-02-16,08,8206,1.599298382381602,37535,7.315338140713311,164.8129019684272
2013-02-15T21,2013-02-15,21,3148,1.9183424741011579,5231,3.18769043266301,158.67397928092626
2013-02-20T02,2013-02-20,02,7459,1.6990888382687928,38583,8.788838268792711,185.07767653758543
2013-02-14T10,2013-02-14,10,8405,1.50035701535166,25615,4.572474116387005,166.83041770796143
2013-02-19T09,2013-02-19,09,7563,1.4070697674418604,27416,5.100651162790697,165.0293953488372
2013-02-27T15,2013-02-27,15,7924,1.5712869323815188,26742,5.302795954788817,157.22149514178068
2013-02-08T20,2013-02-08,20,3207,1.7679162072767365,6459,3.5606394707828004,178.03307607497243
2013-02-28T15,2013-02-28,15,7918,1.461424880029531,23455,4.329088224437061,153.65577703949796
2013-02-18T01,2013-02-18,01,4406,1.8244306418219463,18322,7.586749482401657,164.79544513457557
2013-02-15T07,2013-02-15,07,7451,1.3547272727272728,40783,7.415090909090909,163.77
2013-02-19T04,2013-02-19,04,8790,1.5233968804159446,54729,9.485095320623916,179.53552859618716
2013-02-06T19,2013-02-06,19,3334,1.5168334849863512,6963,3.167879890809827,174.79572338489535
2013-02-13T14,2013-02-13,14,6964,1.1655230125523013,38356,6.419414225941423,147.83062761506275
2013-02-22T13,2013-02-22,13,7806,1.4325564323729125,24518,4.499541200220224,157.01816847127913
2013-02-07T03,2013-02-07,03,6596,1.4696969696969697,30135,6.714572192513369,180.8393493761141
2013-02-03T03,2013-02-03,03,4800,1.2342504499871432,27447,7.057598354332733,153.45024427873489
2013-02-26T04,2013-02-26,04,8548,1.6432141484044598,36051,6.930219146482123,169.7941176470588
2013-02-22T03,2013-02-22,03,7787,1.4886255018160963,30033,5.741349646339132,177.01892563563374
2013-02-16T09,2013-02-16,09,6664,1.367816091954023,25351,5.203407224958949,164.5289408866995
2013-02-03T05,2013-02-03,05,6290,1.4081038728453101,30401,6.805686142825162,157.4356391314081
2013-02-05T21,2013-02-05,21,2772,1.5529411764705883,8592,4.81344537815126,173.5859943977591
2013-02-06T06,2013-02-06,06,7864,1.419494584837545,32121,5.798014440433213,174.15216606498194
2013-02-17T20,2013-02-17,20,2356,1.3228523301516002,7722,4.335766423357664,160.3385738349242
2013-02-04T00,2013-02-04,00,3252,1.7362520021356114,7643,4.0806193272824345,169.17138280832887
2013-02-07T20,2013-02-07,20,2469,1.4060364464692483,8356,4.758542141230068,171.09908883826878
2013-03-01T06,2013-03-01,06,9570,1.5942028985507246,30931,5.152590371480926,171.62202232217226
2013-02-05T04,2013-02-05,04,8565,1.6900157853196527,33462,6.602604577742699,180.93942383583268
2013-02-07T02,2013-02-07,02,7061,1.6280839289831681,30417,7.013373299515794,186.43670740142957
2013-02-03T21,2013-02-03,21,2026,1.2286234081261371,7592,4.604002425712553,153.4147968465737
2013-02-11T14,2013-02-11,14,7114,1.2769700233351284,38528,6.915814036977204,147.8811703464369
2013-02-28T14,2013-02-28,14,6842,1.1504960484277786,27735,4.663695981166975,142.5510341348579
2013-02-21T07,2013-02-21,07,9421,1.6003057584508238,29688,5.042976048921352,173.23781212841854
2013-02-27T03,2013-02-27,03,8033,1.521113425487597,27634,5.232721075553872,185.76841507290285
2013-02-17T11,2013-02-17,11,6040,1.4767726161369192,28738,7.02640586797066,168.46699266503668
2013-02-15T06,2013-02-15,06,9357,1.7018915969443433,40504,7.367042560931248,166.9394325209167
2013-02-24T14,2013-02-24,14,5998,1.3836216839677047,30348,7.000692041522491,145.66851211072665
2013-02-15T19,2013-02-15,19,3945,1.7643112701252237,9213,4.120304114490161,167.34973166368516
2013-02-05T11,2013-02-05,11,8367,1.5697936210131331,41332,7.754596622889306,164.6562851782364
2013-02-11T12,2013-02-11,12,6484,1.2585403726708075,33586,6.519021739130435,152.16750776397515
2013-02-05T17,2013-02-05,17,4469,1.1914156225006665,17071,4.551053052519328,148.4972007464676
2013-02-19T17,2013-02-19,17,5182,1.3698123182659265,13673,3.6143272535025113,157.99497753106002
2013-02-19T15,2013-02-19,15,8266,1.529890801406626,25092,4.644086618545253,158.9713122339441
2013-02-06T00,2013-02-06,00,3673,1.336122226264096,28591,10.4005092761004,174.79010549290652
2013-02-15T08,2013-02-15,08,9069,1.572840790842872,31656,5.490114464099896,166.4699965313909
2013-02-13T09,2013-02-13,09,10347,1.751057708580132,24106,4.079539685225926,171.8965984092063
2013-02-20T03,2013-02-20,03,7633,1.4038992091226778,40034,7.363251793268346,173.51627735883758
2013-02-19T12,2013-02-19,12,8201,1.5594219433352348,33435,6.3576725613234455,154.38163148887622
2013-02-28T23,2013-02-28,23,3276,1.5452830188679245,11130,5.25,160.24811320754716
